activation,approximation_max_error,approximation_rmse,baseline_accuracy,ciphertext_accuracy,ciphertext_reason,ciphertext_status,dataset,decrypt_mean_ms,decrypt_median_ms,decrypt_p95_ms,degree,encrypt_mean_ms,encrypt_median_ms,encrypt_p95_ms,encrypted_mean_ms,encrypted_median_ms,encrypted_p95_ms,encrypted_ram_bytes,encrypted_setup_ms,encrypted_vram_bytes,evaluate_mean_ms,evaluate_median_ms,evaluate_p95_ms,method,model,plaintext_matched_accuracy,plaintext_mean_ms,plaintext_median_ms,plaintext_p95_ms,plaintext_polynomial_accuracy,plaintext_ram_bytes,plaintext_vram_bytes,range,sample_count,slowdown_ratio,status,run_id,run_label
gelu,1.407598246121711,0.7852603061211043,0.8668105189859271,0.0161290322580645,,complete,emnist,40.27102655806452,39.853996,47.9084393,1,72.98249304354839,70.75429299999999,92.18406655,903.8192901903226,886.797896,956.49754815,0.0,112020.085869,39936065536.0,790.5657705887097,776.1277064999999,829.4462441,chebyshev,lenet5,0.0161290322580645,0.2356667454624849,0.2344649983569979,0.2421048004180193,0.0484255048442698,1806348288,9289216,4.0,620,3835.158364904729,complete,20260806-022042-a766e1f8,emnist/lenet5-gelu.json · 20260806-022042-a766e1f8
gelu,0.3775411767906405,0.2428344447438415,0.8668105189859271,,/home/bobby/FIDESlib/deps/openfhe-src/src/pke/lib/scheme/ckksrns/ckksrns-parametergeneration.cpp:l.148:ParamsGenCKKSRNSInternal(): The specified ring dimension (32768) does not comply with HE standards recommendation (65536).,failed,emnist,,,,2,,,,,,,,,,,,,chebyshev,lenet5,0.05,0.3327478711012631,0.3320230171084404,0.3393017686903476,0.0480902315105353,1806348288,9289216,4.0,620,,complete,20260806-022042-a766e1f8,emnist/lenet5-gelu.json · 20260806-022042-a766e1f8
