model,degree,approximation_rmse,approximation_max_error,weighted_approximation_rmse,observed_approximation_max_error,activation_outside_range_fraction,activation_input_count
mlp,2,1.501437873897918,2.1650635075981244,1.2753148534854415,3.247020207762815,0.00020833333333333335,19200
mlp,4,0.7359662222482428,1.2317569307786451,0.8628919405944032,3.046049126664381,0.00020833333333333335,19200
mlp,6,0.4516016621552747,0.8660927074295115,0.6080793163442868,4.087909528998616,0.00020833333333333335,19200
mlp,8,0.3090760133593411,0.6640646634557185,0.44599467773534246,6.4931831144608925,0.00020833333333333335,19200
mlp,10,0.22521869614352255,0.5278129918997903,0.34443644701030307,11.391617386750609,0.00020833333333333335,19200
mlp,12,0.17070534482669428,0.42543086556823373,0.30126793620532966,21.352157256674403,0.00020833333333333335,19200
mlp,14,0.13282265401100316,0.34416873863871866,0.36600326960394297,41.95645606642929,0.00020833333333333335,19200
mlp,16,0.1052496262093312,0.2777551606495534,0.6389779116393206,85.36597914061028,0.00020833333333333335,19200
mlp,18,0.08449908055652242,0.22274072846436976,1.2948031539118556,178.16572400725437,0.00020833333333333335,19200
mlp,20,0.06847289828044238,0.177093360640256,2.736101976162679,378.4496260279767,0.00020833333333333335,19200
lenet5,2,1.501437873897918,2.1650635075981244,0.7030650257377319,2.1650632657916455,0.0,200000
lenet5,4,0.7359662222482428,1.2317569307786451,0.5390322661260187,1.231756929021365,0.0,200000
lenet5,6,0.4516016621552747,0.8660927074295115,0.41991038956940985,0.8660927186198346,0.0,200000
lenet5,8,0.3090760133593411,0.6640646634557185,0.3314325469426918,0.6640647551055843,0.0,200000
lenet5,10,0.22521869614352255,0.5278129918997903,0.26480917173415763,0.5278129951700232,0.0,200000
lenet5,12,0.17070534482669428,0.42543086556823373,0.2137323017830345,0.42543107708774675,0.0,200000
lenet5,14,0.13282265401100316,0.34416873863871866,0.1737094186412379,0.34416901505994285,0.0,200000
lenet5,16,0.1052496262093312,0.2777551606495534,0.14161667259015523,0.27775555004826136,0.0,200000
lenet5,18,0.08449908055652242,0.22274072846436976,0.11534783772481641,0.2227407328539439,0.0,200000
lenet5,20,0.06847289828044238,0.177093360640256,0.09354576219655379,0.17709375359741472,0.0,200000
